type,ypos,xpos,speed,image,1 = obstacle,2 = turtle,3 = wetturtle,4 = logs,5 = rest,6 = end
1,1,0,-5,car,,,,,,
1,1,300,-5,car,,,,,,
1,2,150,3,longTruck,,,,,,
1,3,0,-2.5,mediumTruck,,,,,,
1,3,150,-2.5,mediumTruck,,,,,,
5,4,,,,,,,,,
4,5,170,1,log3,,,,,,
4,5,370,1,log3,,,,,,
4,5,570,1,log3,,,,,,
4,6,0,-2,log1,,,,,,
4,6,400,-2,log1,,,,,,
2,7,100,0.75,,,,,,,
2,7,300,0.75,,,,,,,
3,7,600,0.75,,,,,,,
4,8,0,1.5,log2,,,,,,
4,8,220,1.5,log2,,,,,,
4,8,440,1.5,log2,,,,,,
5,9,,,,,,,,,
1,10,100,1.5,car,,,,,,
1,10,300,1.5,car,,,,,,
1,10,450,1.5,car,,,,,,
1,11,500,0.75,longTruck,,,,,,
1,12,0,-1.5,shortTruck,,,,,,
1,12,300,-1.5,shortTruck,,,,,,
1,13,0,1,mediumTruck,,,,,,
1,13,300,1,mediumTruck,,,,,,
1,14,500,-5,car,,,,,,
5,15,,,,,,,,,
3,16,600,-1.5,,,,,,,
3,16,400,-1.5,,,,,,,
3,16,200,-1.5,,,,,,,
2,17,500,1.5,,,,,,,
2,17,300,1.5,,,,,,,
4,18,170,1,log3,,,,,,
4,18,370,1,log3,,,,,,
4,18,570,1,log3,,,,,,
6,19,,,,,,,,,
