type,ypos,xpos,speed,image,1 = obstacle,2 = turtle,3 = wetturtle,4 = logs,5 = rest,6 = end
1,1,0,-3,car,,,,,,
1,1,300,-3,car,,,,,,
1,2,150,2,longTruck,,,,,,
1,3,0,-1,mediumTruck,,,,,,
1,3,150,-1,mediumTruck,,,,,,
5,4,,,,,,,,,
4,5,170,0.75,log3,,,,,,
4,5,370,0.75,log3,,,,,,
4,5,570,0.75,log3,,,,,,
4,6,0,-2,log1,,,,,,
4,6,400,-2,log1,,,,,,
2,7,500,-1,,,,,,,
2,7,300,-1,,,,,,,
3,7,700,-1,,,,,,,
4,8,0,0.75,log2,,,,,,
4,8,220,0.75,log2,,,,,,
4,8,440,0.75,log2,,,,,,
5,9,,,,,,,,,
1,10,100,-1,car,,,,,,
1,10,300,-1,car,,,,,,
1,10,450,-1,car,,,,,,
1,11,500,1,longTruck,,,,,,
1,12,0,-1,shortTruck,,,,,,
1,12,300,-1,shortTruck,,,,,,
1,13,0,1,mediumTruck,,,,,,
1,13,300,1,mediumTruck,,,,,,
1,14,500,-5,car,,,,,,
5,15,,,,,,,,,
3,16,600,-1,,,,,,,
3,16,400,-1,,,,,,,
3,16,200,-1,,,,,,,
2,17,500,1,,,,,,,
2,17,300,1,,,,,,,
4,18,170,0.75,log3,,,,,,
4,18,370,0.75,log3,,,,,,
4,18,570,0.75,log3,,,,,,
6,19,,,,,,,,,
