type,ypos,xpos,speed,image,1 = obstacle,2 = turtle,3 = wetturtle,4 = logs,5 = rest,6 = end
4,1,170,0.75,log3,,,,,,
4,1,370,0.75,log3,,,,,,
4,1,570,0.75,log3,,,,,,
4,2,0,-2,log1,,,,,,
4,2,400,-2,log1,,,,,,
2,3,500,-1,,,,,,,
2,3,300,-1,,,,,,,
3,3,700,-1,,,,,,,
4,4,0,0.75,log2,,,,,,
4,4,220,0.75,log2,,,,,,
4,4,440,0.75,log2,,,,,,
5,5,,,,,,,,,
1,6,100,-1,car,,,,,,
1,6,300,-1,car,,,,,,
1,6,450,-1,car,,,,,,
1,7,500,1,longTruck,,,,,,
1,8,0,-1,shortTruck,,,,,,
1,8,300,-1,shortTruck,,,,,,
1,9,0,1,mediumTruck,,,,,,
1,9,300,1,mediumTruck,,,,,,
1,10,500,-5,car,,,,,,
5,11,,,,,,,,,
3,12,600,-1,,,,,,,
3,12,400,-1,,,,,,,
3,12,200,-1,,,,,,,
2,13,500,1,,,,,,,
2,13,300,1,,,,,,,
4,14,170,0.75,log3,,,,,,
4,14,370,0.75,log3,,,,,,
4,14,570,0.75,log3,,,,,,
6,15,,,,,,,,,
