type,ypos,xpos,speed,image,1 = obstacle,2 = turtle,3 = wetturtle,4 = logs,5 = rest,6 = end
1,1,0,1.5,mediumTruck,,,,,,
1,1,300,1.5,mediumTruck,,,,,,
1,2,100,-2,car,,,,,,
1,2,300,-2,car,,,,,,
1,2,450,-2,car,,,,,,
1,3,0,2,longTruck,,,,,,
1,4,500,-5,car,,,,,,
1,5,500,-2,longTruck,,,,,,
5,6,,,,,,,,,
2,7,500,-1,,,,,,,
2,7,300,-1,,,,,,,
2,7,700,-1,,,,,,,
4,8,170,1,log3,,,,,,
4,8,370,1,log3,,,,,,
4,8,570,1,log3,,,,,,
4,9,0,-2,log1,,,,,,
4,9,400,-2,log1,,,,,,
3,10,600,-1.5,,,,,,,
3,10,400,-1.5,,,,,,,
3,10,200,-1.5,,,,,,,
4,11,0,1,log2,,,,,,
4,11,220,1,log2,,,,,,
4,11,440,1,log2,,,,,,
6,12,,,,,,,,,
